feature,mean_perm,median_perm,positive_fraction,top10_fraction,mean_gain
ptp,0.09386243989182744,0.08703703703703705,1.0,1.0,0.40964197469550595
peaks_gt_0.1max,0.012695904502884095,0.00882352941176472,0.6666666666666666,0.5555555555555556,0.028560793954656296
abs_q95,0.012148143418145485,0.005664472762918394,0.7777777777777778,0.6666666666666666,0.026665690587662924
line_length,0.011262256289068325,0.0057692307692308155,0.6666666666666666,0.7777777777777778,0.011563748624122435
abs_q99,0.00887050545455085,0.004700854700854728,0.6666666666666666,0.4444444444444444,0.13375572362589316
mean_abs_diff,0.006234598712983769,0.0013513513513513597,0.6666666666666666,0.5555555555555556,0.005703555422736988
std,0.0056892706784970925,0.006623931623931667,0.5555555555555556,0.5555555555555556,0.15335701381445685
bandpower_250_500,0.005661335115854411,0.0,0.4444444444444444,0.3333333333333333,0.012102354949587809
abs_q75,0.0049466843922588,0.0,0.3333333333333333,0.5555555555555556,0.0061153791117243
veryhf_ratio,0.003724046761029635,0.0,0.4444444444444444,0.3333333333333333,0.008530806767477302
autocorr_100,0.0029264852613158673,0.0,0.4444444444444444,0.3333333333333333,0.011517637699953086
skew,0.00243559446237984,0.002758717266489308,0.5555555555555556,0.5555555555555556,0.0074204012294428745
max_abs,0.00161879142937535,0.0,0.3333333333333333,0.3333333333333333,0.008784026777656835
bandpower_125_250,0.0012350196958650732,0.0,0.2222222222222222,0.2222222222222222,0.0071616364197244825
autocorr_1,0.000986890425969553,0.0,0.2222222222222222,0.2222222222222222,0.005674012044870525
median_abs,0.0009347787673754733,0.0,0.4444444444444444,0.2222222222222222,0.006358165208289884
bandpower_40_80,0.0007814943530068605,0.0,0.1111111111111111,0.1111111111111111,0.004551767184350091
dominant_freq,0.0007420482956111553,0.0012953367875647714,0.5555555555555556,0.1111111111111111,0.006555900400307044
mean,0.0007242117019219938,0.0,0.4444444444444444,0.2222222222222222,0.004660278816811927
bandpower_80_125,0.0006603214553253276,0.0,0.3333333333333333,0.2222222222222222,0.007198485376576267
autocorr_50,0.0005483335195981294,0.0,0.4444444444444444,0.1111111111111111,0.009090376118406142
kurtosis,0.0004767880832348951,0.0,0.2222222222222222,0.2222222222222222,0.002210617421230036
median_freq,0.00020576131687242643,0.0,0.1111111111111111,0.0,0.0008405126655575176
spectral_centroid,0.0001322751322751318,0.0,0.1111111111111111,0.0,0.0012106382574987452
peaks_gt_0.5max,4.4363168410716594e-05,0.0,0.1111111111111111,0.1111111111111111,0.0006942177320866653
bandpower_16_40,3.2614122716524554e-05,0.0,0.1111111111111111,0.0,0.003893358139042523
mad,0.0,0.0,0.0,0.2222222222222222,7.102260846948318e-05
autocorr_10,-0.0001464874994286641,0.0,0.3333333333333333,0.1111111111111111,0.004401207874485804
autocorr_20,-0.0001554234218429448,0.0,0.2222222222222222,0.0,0.003588921564073274
zero_cross_rate,-0.000593767010060558,0.0,0.1111111111111111,0.1111111111111111,0.0015816303803703928
peaks_gt_0.3max,-0.0006172839506172793,0.0,0.0,0.0,0.0010325707511699704
spectral_entropy,-0.0014492198205982292,0.0,0.0,0.0,0.0031800334879069033
max_abs_diff,-0.0015221410324595833,0.0,0.4444444444444444,0.2222222222222222,0.007032215409370873
hjorth_mobility,-0.0015579071134626619,0.0,0.0,0.0,0.002709660257730961
autocorr_5,-0.0015799529688418454,0.0,0.1111111111111111,0.0,0.002290449205776014
std_diff,-0.0018153674418148647,0.0,0.2222222222222222,0.1111111111111111,0.001190843874298075
abs_q90,-0.002068423838352255,-0.0005952380952381153,0.0,0.1111111111111111,0.0050773861788315855
peaks_gt_0.2max,-0.0021164021164021187,0.0,0.0,0.1111111111111111,0.0003803303664111732
hf_lf_ratio,-0.0025698228434546905,0.0,0.0,0.0,0.003715241060330682
teager_std,-0.002703234944711556,0.0,0.2222222222222222,0.1111111111111111,0.005481731470713767
hjorth_complexity,-0.0027820803367723237,0.0,0.1111111111111111,0.0,0.002949915129893479
rms,-0.0035345045866508307,0.0,0.3333333333333333,0.1111111111111111,0.06824420767209322
teager_mean_abs,-0.003930642928893143,0.0,0.1111111111111111,0.0,0.0032535596624456856
