patient,version,selected_config,n,accuracy,balanced_accuracy,f1,auroc,brier,ece10
Pt1,raw,L15_m20,139,0.9064748201438848,0.8998910675381264,0.9239766081871345,0.9688453159041394,0.0671181708082909,0.0590511782199376
Pt1,platt,L15_m20,139,0.9064748201438848,0.8998910675381264,0.9239766081871345,0.9688453159041394,0.0635984608369426,0.0657665462906596
Pt2,raw,L7_m20,88,0.9090909090909092,0.9188034188034188,0.9183673469387756,0.9732905982905984,0.079947064455776,0.0836475776642543
Pt2,platt,L7_m20,88,0.9090909090909092,0.9188034188034188,0.9183673469387756,0.9732905982905984,0.0742089017471038,0.0632279828369676
Pt3,raw,L7_m20,84,0.9404761904761904,0.9626865671641792,0.9612403100775194,0.99297629499561,0.0373907710890055,0.0535917623134374
Pt3,platt,L7_m20,84,0.9523809523809524,0.9701492537313432,0.9692307692307692,0.99297629499561,0.0340763237100361,0.0541499541285885
Pt4,raw,L15_m20,460,0.9608695652173912,0.8947626382859544,0.8676470588235294,0.9351981515193952,0.0354746659110919,0.0219484793073936
Pt4,platt,L15_m20,460,0.9565217391304348,0.9030948046492088,0.8591549295774648,0.9351981515193952,0.0503200606191196,0.0993125795606927
Pt5,raw,L15_m40,33,0.8787878787878788,0.9047619047619048,0.8947368421052632,0.9325396825396824,0.1022126246750899,0.1534523635598737
Pt5,platt,L15_m40,33,0.9090909090909092,0.9285714285714286,0.9230769230769232,0.9325396825396824,0.0982775129792393,0.1207490978937487
Pt6,raw,L15_m40,676,0.908284023668639,0.891169853768279,0.93812375249501,0.961625890513686,0.0709149669675578,0.0518109084189752
Pt6,platt,L15_m40,676,0.9097633136094676,0.8941460442444695,0.939060939060939,0.961625890513686,0.0689536419798924,0.048716387768796
Pt7,raw,L7_m20,69,0.9710144927536232,0.9710084033613444,0.9705882352941176,0.9932773109243698,0.0279015545899547,0.0445303717442991
Pt7,platt,L7_m20,69,0.9710144927536232,0.9710084033613444,0.9705882352941176,0.9932773109243698,0.0298501473770328,0.047360194805927
Pt8,raw,L15_m40,120,0.975,0.9722222222222222,0.9777777777777776,1.0,0.0194862702467067,0.0468802404816087
Pt8,platt,L15_m40,120,0.975,0.9722222222222222,0.9777777777777776,1.0,0.0202338252010538,0.0531884242966801
Pt9,raw,L15_m40,47,0.9787234042553192,0.9848484848484848,0.9846153846153848,1.0,0.0168529535338118,0.0570882093155325
Pt9,platt,L15_m40,47,0.9787234042553192,0.9848484848484848,0.9846153846153848,1.0,0.0187796636295187,0.0721614673049396
