outer_patient,config,inner_macro_balanced_accuracy,inner_macro_auroc
Pt1,L15_m20,0.932331165702171,0.9707623148185038
Pt1,L15_m40,0.9283533183496264,0.9719519321717092
Pt1,L31_m20,0.9303353447053784,0.9703714695652688
Pt1,L7_m20,0.9299385978187512,0.9726018078892676
Pt2,L15_m20,0.9317902895694536,0.9719625367280949
Pt2,L15_m40,0.93583991856862,0.9706629878364168
Pt2,L31_m20,0.933565783778511,0.9699584228208336
Pt2,L7_m20,0.9405477114532976,0.9728344504623904
Pt3,L15_m20,0.9215704632597326,0.9664438806084956
Pt3,L15_m40,0.9227330688044304,0.9704912574315973
Pt3,L31_m20,0.9229921590748108,0.9676754625663744
Pt3,L7_m20,0.9259644283416736,0.9690017419504028
Pt4,L15_m20,0.9292223797589224,0.9735955861427374
Pt4,L15_m40,0.9205195616601706,0.9673628411968558
Pt4,L31_m20,0.9246122631618656,0.9734588251281828
Pt4,L7_m20,0.9156738525169896,0.9713481672616312
Pt5,L15_m20,0.9362983820794892,0.9782071523370954
Pt5,L15_m40,0.9391706099531644,0.977778178355024
Pt5,L31_m20,0.9385772406132564,0.9788641033895744
Pt5,L7_m20,0.9373627326657256,0.9788846227768896
Pt6,L15_m20,0.9047623915705691,0.9775982809226824
Pt6,L15_m40,0.9129229768411518,0.97891592359272
Pt6,L31_m20,0.9014555132636908,0.9776932883028482
Pt6,L7_m20,0.9023001078582854,0.9768279131857082
Pt7,L15_m20,0.9199101267587814,0.9710264500646816
Pt7,L15_m40,0.9285946833916068,0.971076499003779
Pt7,L31_m20,0.9211201270361646,0.9697655481667752
Pt7,L7_m20,0.932888016502702,0.9723427954056468
Pt8,L15_m20,0.9289755096029524,0.9687796938401704
Pt8,L15_m40,0.9323890371723136,0.9715753149524896
Pt8,L31_m20,0.9321560088191938,0.9688043063815296
Pt8,L7_m20,0.9248031528423406,0.9717318662288046
Pt9,L15_m20,0.9237222785043828,0.9673625394982792
Pt9,L15_m40,0.9267385363262636,0.968529871921518
Pt9,L31_m20,0.9184862030724829,0.9682877846912414
Pt9,L7_m20,0.9238841348043242,0.969609799066605
