patient,target_coverage,threshold_from_training_oof,actual_test_coverage,retained_n,abstained_n,full_accuracy,retained_accuracy,accuracy_gain,retained_balanced_accuracy,retained_auroc,retained_disagreement,abstained_disagreement,disagreement_enrichment
Pt1,0.9,0.8515751063927388,0.9280575539568345,129,10,0.9064748201438849,0.9457364341085271,0.03926161396464223,0.9440586419753086,0.9758230452674898,0.40310077519379844,0.5,0.09689922480620156
Pt1,0.8,0.9525736510746338,0.8633093525179856,120,19,0.9064748201438849,0.9666666666666667,0.060191846522781756,0.9746835443037974,0.9796233405372028,0.375,0.631578947368421,0.256578947368421
Pt1,0.7,0.9788324090556147,0.7697841726618705,107,32,0.9064748201438849,0.9719626168224299,0.06548779667854498,0.9791666666666667,0.9829365079365079,0.3644859813084112,0.5625,0.1980140186915888
Pt1,0.6,0.9884636839694608,0.6834532374100719,95,44,0.9064748201438849,0.968421052631579,0.06194623248769404,0.9788732394366197,0.994131455399061,0.37894736842105264,0.4772727272727273,0.09832535885167465
Pt1,0.5,0.9945980173714508,0.5827338129496403,81,58,0.9064748201438849,1.0,0.09352517985611508,1.0,1.0,0.4074074074074074,0.41379310344827586,0.0063856960408684715
Pt2,0.9,0.851679075435906,0.9431818181818182,83,5,0.9090909090909091,0.9397590361445783,0.03066812705366928,0.944047619047619,0.9767857142857143,0.13253012048192772,0.6,0.4674698795180723
Pt2,0.8,0.9512448345844343,0.9204545454545454,81,7,0.9090909090909091,0.9382716049382716,0.029180695847362492,0.9427409261576971,0.9787234042553191,0.12345679012345678,0.5714285714285714,0.4479717813051146
Pt2,0.7,0.9754639711878738,0.875,77,11,0.9090909090909091,0.948051948051948,0.038961038961038974,0.9565217391304348,0.9852734922861149,0.1038961038961039,0.5454545454545454,0.4415584415584415
Pt2,0.6,0.9850702268538583,0.8181818181818182,72,16,0.9090909090909091,0.9583333333333334,0.04924242424242431,0.9666666666666667,0.9942386831275719,0.08333333333333333,0.5,0.4166666666666667
Pt2,0.5,0.9910103534777059,0.7272727272727273,64,24,0.9090909090909091,0.984375,0.07528409090909094,0.9878048780487805,0.9989395546129375,0.03125,0.5,0.46875
Pt3,0.9,0.856028771589968,0.9285714285714286,78,6,0.9404761904761905,0.9743589743589743,0.03388278388278387,0.9838709677419355,0.9949596774193549,0.1794871794871795,0.0,-0.1794871794871795
Pt3,0.8,0.9415444696173171,0.9047619047619048,76,8,0.9404761904761905,0.9868421052631579,0.04636591478696739,0.9916666666666667,0.9947916666666666,0.18421052631578946,0.0,-0.18421052631578946
Pt3,0.7,0.9698904792458508,0.8452380952380952,71,13,0.9404761904761905,0.9859154929577465,0.04543930248155603,0.9915254237288136,0.9985875706214689,0.19718309859154928,0.0,-0.19718309859154928
Pt3,0.6,0.9812915457896981,0.8095238095238095,68,16,0.9404761904761905,1.0,0.059523809523809534,1.0,1.0,0.17647058823529413,0.125,-0.05147058823529413
Pt3,0.5,0.9896164410534285,0.75,63,21,0.9404761904761905,1.0,0.059523809523809534,1.0,1.0,0.15873015873015872,0.19047619047619047,0.031746031746031744
Pt4,0.9,0.8364770870316292,0.9282608695652174,427,33,0.9608695652173913,0.9718969555035128,0.011027390286121541,0.9104477611940298,0.9376451077943616,0.28805620608899296,0.6060606060606061,0.3180043999716131
Pt4,0.8,0.9622144494013143,0.7,322,138,0.9608695652173913,0.9875776397515528,0.026708074534161463,0.9649122807017544,0.9589539887454486,0.2639751552795031,0.42028985507246375,0.15631469979296064
Pt4,0.7,0.9863053189452798,0.4260869565217391,196,264,0.9608695652173913,0.9795918367346939,0.018722271517302547,0.9615384615384616,0.9818376068376069,0.14285714285714285,0.4356060606060606,0.29274891774891776
Pt4,0.6,0.9937413074525409,0.2217391304347826,102,358,0.9608695652173913,0.9901960784313726,0.029326513213981276,0.9880952380952381,0.9968253968253968,0.09803921568627451,0.3715083798882682,0.2734691642019937
Pt4,0.5,0.9962161991954589,0.15,69,391,0.9608695652173913,1.0,0.03913043478260869,1.0,1.0,0.057971014492753624,0.3554987212276215,0.2975277067348679
Pt5,0.9,0.8509516892846782,0.7575757575757576,25,8,0.8787878787878788,0.92,0.041212121212121255,0.9333333333333333,0.9266666666666667,0.08,0.5,0.42
Pt5,0.8,0.9482548044795043,0.6666666666666666,22,11,0.8787878787878788,0.9545454545454546,0.0757575757575758,0.9642857142857143,0.9285714285714286,0.09090909090909091,0.36363636363636365,0.2727272727272727
Pt5,0.7,0.9739209672627382,0.5757575757575758,19,14,0.8787878787878788,0.9473684210526315,0.06858054226475274,0.9642857142857143,0.9285714285714286,0.10526315789473684,0.2857142857142857,0.18045112781954886
Pt5,0.6,0.9865639303592081,0.5151515151515151,17,16,0.8787878787878788,0.9411764705882353,0.0623885918003565,0.9642857142857143,0.9285714285714286,0.058823529411764705,0.3125,0.2536764705882353
Pt5,0.5,0.9937552660002859,0.42424242424242425,14,19,0.8787878787878788,0.9285714285714286,0.04978354978354982,0.9615384615384616,0.9230769230769231,0.07142857142857142,0.2631578947368421,0.19172932330827067
Pt6,0.9,0.877291477879455,0.8520710059171598,576,100,0.908284023668639,0.9548611111111112,0.04657708744247213,0.9652325159120014,0.9796058793172653,0.3454861111111111,0.55,0.20451388888888894
Pt6,0.8,0.9527141674553686,0.7736686390532544,523,153,0.908284023668639,0.9617590822179732,0.05347505854933421,0.9771167048054921,0.987360970677452,0.3231357552581262,0.5555555555555556,0.23241980029742937
Pt6,0.7,0.9756994333146783,0.6937869822485208,469,207,0.908284023668639,0.976545842217484,0.06826181854884494,0.9864532019704433,0.9951129877238251,0.31982942430703626,0.5024154589371981,0.18258603463016182
Pt6,0.6,0.9863805215137011,0.6464497041420119,437,239,0.908284023668639,0.9931350114416476,0.08485098777300859,0.9960835509138382,0.9963253070302679,0.32036613272311215,0.4769874476987448,0.15662131497563264
Pt6,0.5,0.9927020159387152,0.5695266272189349,385,291,0.908284023668639,0.9922077922077922,0.08392376853915318,0.9956772334293948,0.9978765357197027,0.3012987012987013,0.4742268041237113,0.17292810282501003
Pt7,0.9,0.8319260984717325,0.8985507246376812,62,7,0.9710144927536232,0.9838709677419355,0.012856474988312327,0.984375,0.9979166666666667,0.3225806451612903,0.8571428571428571,0.5345622119815667
Pt7,0.8,0.9334754081601457,0.782608695652174,54,15,0.9710144927536232,1.0,0.02898550724637683,1.0,1.0,0.2777777777777778,0.7333333333333333,0.4555555555555555
Pt7,0.7,0.9625721126036719,0.7391304347826086,51,18,0.9710144927536232,1.0,0.02898550724637683,1.0,1.0,0.2549019607843137,0.7222222222222222,0.4673202614379085
Pt7,0.6,0.9792654659462607,0.6231884057971014,43,26,0.9710144927536232,1.0,0.02898550724637683,1.0,1.0,0.27906976744186046,0.5384615384615384,0.259391771019678
Pt7,0.5,0.9889367219891309,0.5507246376811594,38,31,0.9710144927536232,1.0,0.02898550724637683,1.0,1.0,0.2894736842105263,0.4838709677419355,0.19439728353140917
Pt8,0.9,0.8291856722945561,0.9,108,12,0.975,1.0,0.025000000000000022,1.0,1.0,0.1388888888888889,0.5,0.3611111111111111
Pt8,0.8,0.929941471476941,0.8833333333333333,106,14,0.975,1.0,0.025000000000000022,1.0,1.0,0.1320754716981132,0.5,0.3679245283018868
Pt8,0.7,0.965429539982897,0.8583333333333333,103,17,0.975,1.0,0.025000000000000022,1.0,1.0,0.1262135922330097,0.47058823529411764,0.34437464306110793
Pt8,0.6,0.9821378117706429,0.8166666666666667,98,22,0.975,1.0,0.025000000000000022,1.0,1.0,0.1326530612244898,0.36363636363636365,0.23098330241187384
